,Unnamed: 0,dfo_centroid_y,dfo_main_cause,gfd_country_name,dfo_centroid_x,glide_index,slope_threshold,dfo_severity,threshold_b1b2,dfo_displaced,id,began,dfo_validation_type,composite_type,dfo_country,countries,dfo_other_country,dfo_dead,gfd_country_code,ended,threshold_type,threshold_b7,otsu_sample_res,flood_file,date,iso3
691,691,20.95224,Dam release and Heavy  Rain,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",84.406372,,5,2.0,0.7,0,3382,2008-09-22,News,3Day,India,"['China', 'India', 'Nepal', 'Bangladesh']",,2400,"['BG', 'IN', 'CH', 'UU', 'NP']",2008-09-29,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3382_From_20080922_to_20080929/DFO_3382_From_20080922_to_20080929.tif,733307,"['CHN', 'IND', 'NPL', 'BGD']"
692,692,45.764753,Heavy rain,"['MONTENEGRO', 'SERBIA', 'MACEDONIA', 'KOSOVO', 'BULGARIA', 'TURKEY', 'UKRAINE', 'ROMANIA', 'MOLDOVA']",27.862878,,5,2.0,0.7,13000,2692,2005-07-12,News,3Day,Romania,"['Turkey', 'Ukraine', 'Romania', 'Bulgaria', 'Serbia', 'Moldova']",,23,"['MJ', 'RB', 'MK', 'KV', 'BU', 'TU', 'UP', 'RO', 'MD']",2005-07-28,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2692_From_20050712_to_20050728/DFO_2692_From_20050712_to_20050728.tif,732139,"['TUR', 'UKR', 'ROU', 'BGR', 'SRB', 'MDA']"
693,693,21.923872,Monsoonal rain,"['BURMA', 'BANGLADESH', 'INDIA']",91.932656,,5,1.0,0.7,20000,2257,2003-06-19,News,3Day,Bangladesh,"['India', 'Myanmar (Burma)', 'Bangladesh']",,55,"['BM', 'BG', 'IN']",2003-07-03,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2257_From_20030619_to_20030703/DFO_2257_From_20030619_to_20030703.tif,731385,"['IND', 'MMR', 'BGD']"
694,694,-17.759816,Heavy rain,['MADAGASCAR'],48.283399,,5,1.0,0.7,8300,2633,2005-03-02,News,3Day,Madagascar,['Madagascar'],,25,['MA'],2005-03-15,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2633_From_20050302_to_20050315/DFO_2633_From_20050302_to_20050315.tif,732007,['MDG']
695,695,57.049015,Heavy rain,"['UNITED KINGDOM', 'Isle of Man (UK)']",-2.498648,,5,1.0,0.7,0,2136,2003-01-22,News,3Day,UK,"['United Kingdom', 'Isle of Man']",,0,"['UK', 'IM']",2003-01-23,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2136_From_20030122_to_20030123/DFO_2136_From_20030122_to_20030123.tif,731237,"['GBR', 'IMN']"
696,696,26.729999,Monsoon Rains,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",82.845001,,5,1.5,0.7,15000,3717,2010-09-18,News,3Day,India,"['China', 'India', 'Nepal', 'Bangladesh']",,88,"['BG', 'IN', 'CH', 'UU', 'NP']",2010-09-30,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3717_From_20100918_to_20100930/DFO_3717_From_20100918_to_20100930.tif,734033,"['CHN', 'IND', 'NPL', 'BGD']"
697,697,-9.840357,Heavy Rain,['ANGOLA'],14.147469,,5,1.0,1.023,300,3454,2009-02-15,News,3Day,Angola,['Angola'],,1,['AO'],2009-02-17,otsu,1334.44,231.66,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3454_From_20090215_to_20090217/DFO_3454_From_20090215_to_20090217.tif,733453,['AGO']
698,698,39.608875,Heavy rain,"['ITALY', 'CROATIA', 'ALBANIA', 'BOSNIA & HERZEGOVINA', 'MONTENEGRO', 'SERBIA', 'GREECE', 'MACEDONIA', 'KOSOVO', 'BULGARIA', 'TURKEY', 'SLOVENIA', 'In dispute CROATIA/SLOVENIA']",22.223743,,5,1.0,0.7,0,2172,2003-01-27,News,3Day,Greece,"['Turkey', 'Italy', 'Greece', 'Bulgaria', 'Serbia', 'Croatia', 'Albania', 'Macedonia', 'Bosnia and Herzegovina', 'Slovenia']",,0,"['IT', 'HR', 'AL', 'BK', 'MJ', 'RB', 'GR', 'MK', 'KV', 'BU', 'TU', 'SI', 'UU']",2003-02-07,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2172_From_20030127_to_20030207/DFO_2172_From_20030127_to_20030207.tif,731242,"['TUR', 'ITA', 'GRC', 'BGR', 'SRB', 'HRV', 'ALB', 'MKD', 'BIH', 'SVN']"
699,699,29.138367,Torrential Rain,['CHINA'],115.885692,,5,1.5,0.7,10000,3681,2010-07-07,0,3Day,China,['China'],,0,['CH'],2010-07-23,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3681_From_20100707_to_20100723/DFO_3681_From_20100707_to_20100723.tif,733960,['CHN']
700,700,62.336386,Snowmelt,['RUSSIA'],130.45858,,5,1.0,0.59,7000,3075,2007-05-13,News,3Day,Russia,['Russia'],,0,['RS'],2007-06-13,otsu,536.85,463.31,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3075_From_20070513_to_20070613/DFO_3075_From_20070513_to_20070613.tif,732809,['RUS']
701,701,0.977528,Heavy rain,['INDONESIA'],100.517101,,5,1.0,1.194,60000,2106,2002-12-15,News,3Day,Indonesia,['Indonesia'],,0,['ID'],2002-12-20,otsu,647.06,463.31,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2106_From_20021215_to_20021220/DFO_2106_From_20021215_to_20021220.tif,731199,['IDN']
702,702,20.452499,Monsoonal rain,"['BANGLADESH', 'INDIA']",86.19782,,5,1.0,0.7,20000,3150,2007-08-03,News,3Day,India,"['India', 'Bangladesh']",,15,"['BG', 'IN']",2007-08-27,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3150_From_20070803_to_20070827/DFO_3150_From_20070803_to_20070827.tif,732891,"['IND', 'BGD']"
703,703,38.292104,Torrential Rain,['UNITED STATES'],-88.11368,,5,1.5,0.7,12,4594,2018-04-03,FloodList,3Day,USA,['United States'],,0,['US'],2018-04-08,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_4594_From_20180403_to_20180408/DFO_4594_From_20180403_to_20180408.tif,736787,['USA']
704,704,28.694093,Monsoonal rain,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",81.305997,FL-2006-000127-NPL,5,2.0,0.7,80000,2954,2006-08-26,News,3Day,Nepal,"['China', 'India', 'Nepal', 'Bangladesh']",,60,"['BG', 'IN', 'CH', 'UU', 'NP']",2006-09-13,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2954_From_20060826_to_20060913/DFO_2954_From_20060826_to_20060913.tif,732549,"['CHN', 'IND', 'NPL', 'BGD']"
705,705,6.905842,Heavy rain,['SRI LANKA'],81.75742,,5,1.0,0.7,240000,3254,2008-01-07,News,3Day,Sri Lanka,['Sri Lanka'],,0,['CE'],2008-01-16,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3254_From_20080107_to_20080116/DFO_3254_From_20080107_to_20080116.tif,733048,['LKA']
